corridor_id,date,window_start,window_end,window_type,max_block_minutes
COR-NDLS-CNB,2026-09-06,01:00,04:00,NIGHT_BLOCK,180
COR-NDLS-CNB,2026-09-07,01:00,04:00,NIGHT_BLOCK,180
COR-NDLS-CNB,2026-09-08,01:00,04:00,NIGHT_BLOCK,180
COR-NDLS-CNB,2026-09-09,01:00,04:00,NIGHT_BLOCK,180
COR-NDLS-CNB,2026-09-10,01:00,04:00,NIGHT_BLOCK,180
COR-NDLS-CNB,2026-09-11,01:00,04:00,NIGHT_BLOCK,180
COR-NDLS-CNB,2026-09-12,01:00,04:00,NIGHT_BLOCK,180
COR-CNB-DDU,2026-09-06,00:30,04:30,NIGHT_BLOCK,240
COR-CNB-DDU,2026-09-06,13:00,16:00,LEAN_PERIOD,180
COR-CNB-DDU,2026-09-07,00:30,04:30,NIGHT_BLOCK,240
COR-CNB-DDU,2026-09-07,13:00,16:00,LEAN_PERIOD,180
COR-CNB-DDU,2026-09-08,00:30,04:30,NIGHT_BLOCK,240
COR-CNB-DDU,2026-09-08,13:00,16:00,LEAN_PERIOD,180
COR-CNB-DDU,2026-09-09,00:30,04:30,NIGHT_BLOCK,240
COR-CNB-DDU,2026-09-09,13:00,16:00,LEAN_PERIOD,180
COR-CNB-DDU,2026-09-10,00:30,04:30,NIGHT_BLOCK,240
COR-CNB-DDU,2026-09-10,13:00,16:00,LEAN_PERIOD,180
COR-CNB-DDU,2026-09-11,00:30,04:30,NIGHT_BLOCK,240
COR-CNB-DDU,2026-09-11,13:00,16:00,LEAN_PERIOD,180
COR-CNB-DDU,2026-09-12,00:30,04:30,NIGHT_BLOCK,240
COR-CNB-DDU,2026-09-12,13:00,16:00,LEAN_PERIOD,180
COR-BRC-ST,2026-09-06,00:30,04:30,NIGHT_BLOCK,240
COR-BRC-ST,2026-09-06,13:00,16:00,LEAN_PERIOD,180
COR-BRC-ST,2026-09-07,00:30,04:30,NIGHT_BLOCK,240
COR-BRC-ST,2026-09-07,13:00,16:00,LEAN_PERIOD,180
COR-BRC-ST,2026-09-08,00:30,04:30,NIGHT_BLOCK,240
COR-BRC-ST,2026-09-08,13:00,16:00,LEAN_PERIOD,180
COR-BRC-ST,2026-09-09,00:30,04:30,NIGHT_BLOCK,240
COR-BRC-ST,2026-09-09,13:00,16:00,LEAN_PERIOD,180
COR-BRC-ST,2026-09-10,00:30,04:30,NIGHT_BLOCK,240
COR-BRC-ST,2026-09-10,13:00,16:00,LEAN_PERIOD,180
COR-BRC-ST,2026-09-11,00:30,04:30,NIGHT_BLOCK,240
COR-BRC-ST,2026-09-11,13:00,16:00,LEAN_PERIOD,180
COR-BRC-ST,2026-09-12,00:30,04:30,NIGHT_BLOCK,240
COR-BRC-ST,2026-09-12,13:00,16:00,LEAN_PERIOD,180
COR-HWH-ASN,2026-09-06,01:00,04:00,NIGHT_BLOCK,180
COR-HWH-ASN,2026-09-07,01:00,04:00,NIGHT_BLOCK,180
COR-HWH-ASN,2026-09-08,01:00,04:00,NIGHT_BLOCK,180
COR-HWH-ASN,2026-09-09,01:00,04:00,NIGHT_BLOCK,180
COR-HWH-ASN,2026-09-10,01:00,04:00,NIGHT_BLOCK,180
COR-HWH-ASN,2026-09-11,01:00,04:00,NIGHT_BLOCK,180
COR-HWH-ASN,2026-09-12,01:00,04:00,NIGHT_BLOCK,180
COR-SBC-JTJ,2026-09-06,00:30,04:30,NIGHT_BLOCK,240
COR-SBC-JTJ,2026-09-06,13:00,16:00,LEAN_PERIOD,180
COR-SBC-JTJ,2026-09-07,00:30,04:30,NIGHT_BLOCK,240
COR-SBC-JTJ,2026-09-07,13:00,16:00,LEAN_PERIOD,180
COR-SBC-JTJ,2026-09-08,00:30,04:30,NIGHT_BLOCK,240
COR-SBC-JTJ,2026-09-08,13:00,16:00,LEAN_PERIOD,180
COR-SBC-JTJ,2026-09-09,00:30,04:30,NIGHT_BLOCK,240
COR-SBC-JTJ,2026-09-09,13:00,16:00,LEAN_PERIOD,180
COR-SBC-JTJ,2026-09-10,00:30,04:30,NIGHT_BLOCK,240
COR-SBC-JTJ,2026-09-10,13:00,16:00,LEAN_PERIOD,180
COR-SBC-JTJ,2026-09-11,00:30,04:30,NIGHT_BLOCK,240
COR-SBC-JTJ,2026-09-11,13:00,16:00,LEAN_PERIOD,180
COR-SBC-JTJ,2026-09-12,00:30,04:30,NIGHT_BLOCK,240
COR-SBC-JTJ,2026-09-12,13:00,16:00,LEAN_PERIOD,180
COR-BSL-NGP,2026-09-06,00:30,04:30,NIGHT_BLOCK,240
COR-BSL-NGP,2026-09-06,13:00,16:00,LEAN_PERIOD,180
COR-BSL-NGP,2026-09-07,00:30,04:30,NIGHT_BLOCK,240
COR-BSL-NGP,2026-09-07,13:00,16:00,LEAN_PERIOD,180
COR-BSL-NGP,2026-09-08,00:30,04:30,NIGHT_BLOCK,240
COR-BSL-NGP,2026-09-08,13:00,16:00,LEAN_PERIOD,180
COR-BSL-NGP,2026-09-09,00:30,04:30,NIGHT_BLOCK,240
COR-BSL-NGP,2026-09-09,13:00,16:00,LEAN_PERIOD,180
COR-BSL-NGP,2026-09-10,00:30,04:30,NIGHT_BLOCK,240
COR-BSL-NGP,2026-09-10,13:00,16:00,LEAN_PERIOD,180
COR-BSL-NGP,2026-09-11,00:30,04:30,NIGHT_BLOCK,240
COR-BSL-NGP,2026-09-11,13:00,16:00,LEAN_PERIOD,180
COR-BSL-NGP,2026-09-12,00:30,04:30,NIGHT_BLOCK,240
COR-BSL-NGP,2026-09-12,13:00,16:00,LEAN_PERIOD,180
